År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2026;03 80;UPPSALA;BJÖRKLINGE FÖRSAMLING;34.362;33.142;21.14;11.71;0.292;1.22
2026;03 80;UPPSALA;BÄLINGEBYGDENS FÖRSAMLING;34.292;33.142;21.14;11.71;0.292;1.15
2026;03 80;UPPSALA;DALBY FÖRSAMLING;34.342;33.142;21.14;11.71;0.292;1.2
2026;03 80;UPPSALA;DANMARK-FUNBO FÖRSAMLING;34.192;33.142;21.14;11.71;0.292;1.05
2026;03 80;UPPSALA;FARINGE FÖRSAMLING;34.382;33.142;21.14;11.71;0.292;1.24
2026;03 80;UPPSALA;GAMLA UPPSALA FÖRSAMLING;34.092;33.142;21.14;11.71;0.292;0.95
2026;03 80;UPPSALA;GOTTSUNDA FÖRSAMLING;34.092;33.142;21.14;11.71;0.292;0.95
2026;03 80;UPPSALA;HAGBY FÖRSAMLING;34.342;33.142;21.14;11.71;0.292;1.2
2026;03 80;UPPSALA;HELGA TREFALDIGHETS FÖRSAMLING;34.092;33.142;21.14;11.71;0.292;0.95
2026;03 80;UPPSALA;KNUTBY-BLADÅKERS FÖRSAMLING;34.382;33.142;21.14;11.71;0.292;1.24
2026;03 80;UPPSALA;LENA FÖRSAMLING;34.242;33.142;21.14;11.71;0.292;1.1
2026;03 80;UPPSALA;NORRA HAGUNDA FÖRSAMLING;34.412;33.142;21.14;11.71;0.292;1.27
2026;03 80;UPPSALA;RAMSTA FÖRSAMLING;34.342;33.142;21.14;11.71;0.292;1.2
2026;03 80;UPPSALA;RASBO-RASBOKILS FÖRSAMLING;34.462;33.142;21.14;11.71;0.292;1.32
2026;03 80;UPPSALA;SKUTTUNGE FÖRSAMLING;34.362;33.142;21.14;11.71;0.292;1.22
2026;03 80;UPPSALA;STAVBY FÖRSAMLING;34.462;33.142;21.14;11.71;0.292;1.32
2026;03 80;UPPSALA;TENSTA FÖRSAMLING;34.242;33.142;21.14;11.71;0.292;1.1
2026;03 80;UPPSALA;TUNA FÖRSAMLING;34.462;33.142;21.14;11.71;0.292;1.32
2026;03 80;UPPSALA;UPPSALA DOMKYRKOFÖRSAMLING;34.092;33.142;21.14;11.71;0.292;0.95
2026;03 80;UPPSALA;UPPSALA-NÄS FÖRSAMLING;34.342;33.142;21.14;11.71;0.292;1.2
2026;03 80;UPPSALA;VAKSALA FÖRSAMLING;34.092;33.142;21.14;11.71;0.292;0.95
2026;03 80;UPPSALA;VIKSTA FÖRSAMLING;34.362;33.142;21.14;11.71;0.292;1.22
2026;03 80;UPPSALA;VÄSTERÅKERS FÖRSAMLING;34.342;33.142;21.14;11.71;0.292;1.2
2026;03 80;UPPSALA;ÄRENTUNA FÖRSAMLING;34.242;33.142;21.14;11.71;0.292;1.1
2026;03 81;ENKÖPING;BOGLÖSA FÖRSAMLING;34.462;33.342;21.34;11.71;0.292;1.12
2026;03 81;ENKÖPING;ENKÖPINGS FÖRSAMLING;34.462;33.342;21.34;11.71;0.292;1.12
2026;03 81;ENKÖPING;FJÄRDHUNDRA FÖRSAMLING;34.462;33.342;21.34;11.71;0.292;1.12
2026;03 81;ENKÖPING;LAGUNDA FÖRSAMLING;34.922;33.342;21.34;11.71;0.292;1.58
2026;03 81;ENKÖPING;SPARRSÄTRA-BREDS FÖRSAMLING;34.462;33.342;21.34;11.71;0.292;1.12
2026;03 81;ENKÖPING;TILLINGE OCH SÖDRA ÅSUNDA FÖRSAMLING;34.462;33.342;21.34;11.71;0.292;1.12
2026;03 81;ENKÖPING;VECKHOLMS FÖRSAMLING;34.462;33.342;21.34;11.71;0.292;1.12
2026;03 81;ENKÖPING;VILLBERGA FÖRSAMLING;34.462;33.342;21.34;11.71;0.292;1.12
2026;03 82;ÖSTHAMMAR;ALUNDA FÖRSAMLING;35.082;33.592;21.59;11.71;0.292;1.49
2026;03 82;ÖSTHAMMAR;DANNEMORABYGDENS FÖRSAMLING;34.992;33.592;21.59;11.71;0.292;1.4
2026;03 82;ÖSTHAMMAR;EKEBY FÖRSAMLING;35.012;33.592;21.59;11.71;0.292;1.42
2026;03 82;ÖSTHAMMAR;FRÖSÅKERS FÖRSAMLING;34.922;33.592;21.59;11.71;0.292;1.33
2026;03 82;ÖSTHAMMAR;SKÄFTHAMMAR-HÖKHUVUDS FÖRSAMLING;35.012;33.592;21.59;11.71;0.292;1.42
2026;03 82;ÖSTHAMMAR;ÖREGRUND-GRÄSÖ FÖRSAMLING;34.922;33.592;21.59;11.71;0.292;1.33
2026;04 28;VINGÅKER;VÄSTRA VINGÅKERS FÖRSAMLING;34.842;33.792;22.67;10.83;0.292;1.05
2026;04 28;VINGÅKER;ÖSTERÅKERS FÖRSAMLING;34.842;33.792;22.67;10.83;0.292;1.05
2026;04 61;GNESTA;DAGA FÖRSAMLING;34.572;33.242;22.12;10.83;0.292;1.33
2026;04 61;GNESTA;FRUSTUNA FÖRSAMLING;34.542;33.242;22.12;10.83;0.292;1.3
2026;04 80;NYKÖPING;KILADALENS FÖRSAMLING;33.812;32.542;21.42;10.83;0.292;1.27
2026;04 80;NYKÖPING;NYKÖPINGS FÖRSAMLING;33.722;32.542;21.42;10.83;0.292;1.18
2026;04 80;NYKÖPING;RÖNÖ FÖRSAMLING;33.932;32.542;21.42;10.83;0.292;1.39
2026;04 80;NYKÖPING;STIGTOMTA-VRENA FÖRSAMLING;34.022;32.542;21.42;10.83;0.292;1.48
2026;04 80;NYKÖPING;TUNABERGS FÖRSAMLING;34.132;32.542;21.42;10.83;0.292;1.59
2026;04 80;NYKÖPING;TYSTBERGABYGDENS FÖRSAMLING;34.142;32.542;21.42;10.83;0.292;1.6
2026;04 81;OXELÖSUND;OXELÖSUNDS FÖRSAMLING;34.392;33.342;22.22;10.83;0.292;1.05
2026;04 82;FLEN;BETTNA FÖRSAMLING;34.822;33.392;22.27;10.83;0.292;1.43
2026;04 82;FLEN;DUNKER-LILLA MALMA FÖRSAMLING;34.862;33.392;22.27;10.83;0.292;1.47
2026;04 82;FLEN;FLEN, HELGESTA-HYLTINGE FÖRSAMLING;34.542;33.392;22.27;10.83;0.292;1.15
2026;04 82;FLEN;MELLÖSA FÖRSAMLING;34.872;33.392;22.27;10.83;0.292;1.48
2026;04 83;KATRINEHOLM;BJÖRKVIKS FÖRSAMLING;34.792;33.242;22.12;10.83;0.292;1.55
2026;04 83;KATRINEHOLM;KATRINEHOLMSBYGDENS FÖRSAMLING;34.302;33.242;22.12;10.83;0.292;1.06
2026;04 84;ESKILSTUNA;HUSBY-REKARNE FÖRSAMLING;34.172;33.142;22.02;10.83;0.292;1.03
2026;04 84;ESKILSTUNA;HÄLLBY FÖRSAMLING MED TUMBO OCH RÅBY-REKARNE;34.292;33.142;22.02;10.83;0.292;1.15
2026;04 84;ESKILSTUNA;KAFJÄRDENS FÖRSAMLING;34.092;33.142;22.02;10.83;0.292;0.95
2026;04 84;ESKILSTUNA;NÄSHULTA FÖRSAMLING;34.172;33.142;22.02;10.83;0.292;1.03
2026;04 84;ESKILSTUNA;S:T ANSGARS FÖRSAMLING;34.132;33.142;22.02;10.83;0.292;0.99
2026;04 84;ESKILSTUNA;S:T JOHANNES FÖRSAMLING;34.132;33.142;22.02;10.83;0.292;0.99
2026;04 84;ESKILSTUNA;STENKVISTA-ÄRLA FÖRSAMLING;34.382;33.142;22.02;10.83;0.292;1.24
2026;04 84;ESKILSTUNA;TORSHÄLLA FÖRSAMLING;34.092;33.142;22.02;10.83;0.292;0.95
2026;04 84;ESKILSTUNA;TUNAFORS FÖRSAMLING;34.132;33.142;22.02;10.83;0.292;0.99
2026;04 84;ESKILSTUNA;VÄSTRA REKARNE FÖRSAMLING;34.132;33.142;22.02;10.83;0.292;0.99
2026;04 86;STRÄNGNÄS;MARIEFREDS FÖRSAMLING;33.912;32.792;21.67;10.83;0.292;1.12
2026;04 86;STRÄNGNÄS;STALLARHOLMENS FÖRSAMLING;34.202;32.792;21.67;10.83;0.292;1.41
2026;04 86;STRÄNGNÄS;STRÄNGNÄS DOMKYRKOFÖRSAMLING MED ASPÖ;33.822;32.792;21.67;10.83;0.292;1.03
2026;04 86;STRÄNGNÄS;VÅRFRUBERGA-HÄRADS FÖRSAMLING;34.222;32.792;21.67;10.83;0.292;1.43
2026;04 86;STRÄNGNÄS;ÅKER-LÄNNA FÖRSAMLING;34.092;32.792;21.67;10.83;0.292;1.3
2026;04 88;TROSA;TROSA FÖRSAMLING;33.302;32.322;21.2;10.83;0.292;0.98
2026;05 09;ÖDESHÖG;ÖDESHÖGS FÖRSAMLING;35.392;34.242;22.4;11.55;0.292;1.15
2026;05 12;YDRE;NORRA YDRE FÖRSAMLING;35.922;34.392;22.55;11.55;0.292;1.53
2026;05 12;YDRE;SUND-SVINHULTS FÖRSAMLING;35.922;34.392;22.55;11.55;0.292;1.53
2026;05 12;YDRE;VÄSTRA RYDS FÖRSAMLING;35.922;34.392;22.55;11.55;0.292;1.53
2026;05 13;KINDA;HORNS FÖRSAMLING;34.582;33.292;21.45;11.55;0.292;1.29
2026;05 13;KINDA;HYCKLINGE FÖRSAMLING;34.582;33.292;21.45;11.55;0.292;1.29
2026;05 13;KINDA;KISA FÖRSAMLING;34.582;33.292;21.45;11.55;0.292;1.29
2026;05 13;KINDA;RIMFORSA FÖRSAMLING;34.742;33.292;21.45;11.55;0.292;1.45
2026;05 13;KINDA;TIDERSRUMS FÖRSAMLING;34.582;33.292;21.45;11.55;0.292;1.29
2026;05 13;KINDA;VÄSTRA ENEBY FÖRSAMLING;34.582;33.292;21.45;11.55;0.292;1.29
2026;05 60;BOXHOLM;BOXHOLMS FÖRSAMLING;34.812;33.662;21.82;11.55;0.292;1.15
2026;05 61;ÅTVIDABERG;ÅTVIDS FÖRSAMLING;35.512;34.232;22.39;11.55;0.292;1.28
2026;05 62;FINSPÅNG;FINSPÅNGS FÖRSAMLING;35.142;33.992;22.15;11.55;0.292;1.15
2026;05 63;VALDEMARSVIK;RINGARUMS FÖRSAMLING;35.672;34.322;22.48;11.55;0.292;1.35
2026;05 63;VALDEMARSVIK;VALDEMARSVIKS FÖRSAMLING;35.672;34.322;22.48;11.55;0.292;1.35
2026;05 80;LINKÖPING;GOTTFRIDSBERGS FÖRSAMLING;33.182;32.042;20.2;11.55;0.292;1.14
2026;05 80;LINKÖPING;KÄRNA FÖRSAMLING;33.242;32.042;20.2;11.55;0.292;1.2
2026;05 80;LINKÖPING;LAMBOHOVS FÖRSAMLING;33.303;32.042;20.2;11.55;0.292;1.261
2026;05 80;LINKÖPING;LANDERYDS FÖRSAMLING;33.182;32.042;20.2;11.55;0.292;1.14
2026;05 80;LINKÖPING;LINKÖPINGS BERGA FÖRSAMLING;33.182;32.042;20.2;11.55;0.292;1.14
2026;05 80;LINKÖPING;LINKÖPINGS DOMKYRKOFÖRSAMLING;33.182;32.042;20.2;11.55;0.292;1.14
2026;05 80;LINKÖPING;LINKÖPINGS JOHANNELUNDS FÖRSAMLING;33.182;32.042;20.2;11.55;0.292;1.14
2026;05 80;LINKÖPING;LINKÖPINGS RYDS FÖRSAMLING;33.182;32.042;20.2;11.55;0.292;1.14
2026;05 80;LINKÖPING;LINKÖPINGS S:T LARS FÖRSAMLING;33.182;32.042;20.2;11.55;0.292;1.14
2026;05 80;LINKÖPING;LINKÖPINGS SKÄGGETORPS FÖRSAMLING;33.182;32.042;20.2;11.55;0.292;1.14
2026;05 80;LINKÖPING;NYKIL-GAMMALKILS FÖRSAMLING;33.303;32.042;20.2;11.55;0.292;1.261
2026;05 80;LINKÖPING;SKEDA FÖRSAMLING;33.303;32.042;20.2;11.55;0.292;1.261
2026;05 80;LINKÖPING;SLAKA FÖRSAMLING;33.303;32.042;20.2;11.55;0.292;1.261
